"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "Markdown", "comment", "blank", "total"
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\package-lock.json", "JSON", 0, 0, 0, 0, 3029, 0, 0, 0, 0, 1, 3030
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\package.json", "JSON", 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 49
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\app.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 16, 94
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\db.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\middleware\authenticate.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\blogs.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\comments.ts", "TypeScript", 0, 0, 319, 0, 0, 0, 0, 0, 2, 66, 387
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\conversations.ts", "TypeScript", 0, 0, 188, 0, 0, 0, 0, 0, 6, 41, 235
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\favourites.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 17, 97
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\forms.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\routes\messages.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 1, 21, 126
