Date : 2024-11-12 21:56:30
Directory : d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql
Total : 252 files,  20841 codes, 94 comments, 2152 blanks, all 23087 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        162 |      8,297 |         75 |      1,434 |      9,806 |
| JSON               |          6 |      6,869 |          2 |          9 |      6,880 |
| TypeScript JSX     |         72 |      5,552 |         14 |        686 |      6,252 |
| JSON with Comments |          3 |         37 |          0 |          3 |         40 |
| XML                |          5 |         32 |          3 |          4 |         39 |
| JavaScript         |          2 |         31 |          0 |          6 |         37 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Markdown           |          1 |         10 |          0 |          9 |         19 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |        252 |     20,841 |         94 |      2,152 |     23,087 |
| . (Files)                                                                                                                                                                         |          1 |          4 |          0 |          1 |          5 |
| backend                                                                                                                                                                           |         43 |      5,515 |         21 |        502 |      6,038 |
| backend (Files)                                                                                                                                                                   |          4 |      3,112 |          0 |          8 |      3,120 |
| backend\src                                                                                                                                                                       |         39 |      2,403 |         21 |        494 |      2,918 |
| backend\src (Files)                                                                                                                                                               |          2 |         93 |          0 |         22 |        115 |
| backend\src\middleware                                                                                                                                                            |          1 |         39 |          0 |          7 |         46 |
| backend\src\routes                                                                                                                                                                |         13 |      1,737 |         18 |        371 |      2,126 |
| backend\src\services                                                                                                                                                              |          3 |        241 |          3 |         45 |        289 |
| backend\src\types                                                                                                                                                                 |         14 |        122 |          0 |         15 |        137 |
| backend\src\utils                                                                                                                                                                 |          6 |        171 |          0 |         34 |        205 |
| frontend                                                                                                                                                                          |        208 |     15,322 |         73 |      1,649 |     17,044 |
| frontend (Files)                                                                                                                                                                  |          9 |      3,869 |          2 |         22 |      3,893 |
| frontend\src                                                                                                                                                                      |        199 |     11,453 |         71 |      1,627 |     13,151 |
| frontend\src (Files)                                                                                                                                                              |          5 |        157 |          1 |         27 |        185 |
| frontend\src\api                                                                                                                                                                  |          1 |         80 |          1 |         16 |         97 |
| frontend\src\assets                                                                                                                                                               |          7 |        392 |          3 |          9 |        404 |
| frontend\src\assets (Files)                                                                                                                                                       |          2 |        360 |          0 |          5 |        365 |
| frontend\src\assets\images                                                                                                                                                        |          5 |         32 |          3 |          4 |         39 |
| frontend\src\assets\images (Files)                                                                                                                                                |          2 |         14 |          0 |          2 |         16 |
| frontend\src\assets\images\blogs                                                                                                                                                  |          1 |          5 |          3 |          0 |          8 |
| frontend\src\assets\images\plansAndPricing                                                                                                                                        |          2 |         13 |          0 |          2 |         15 |
| frontend\src\components                                                                                                                                                           |         68 |      3,846 |         13 |        572 |      4,431 |
| frontend\src\components (Files)                                                                                                                                                   |          1 |        119 |          0 |          7 |        126 |
| frontend\src\components\Accordion                                                                                                                                                 |          2 |         51 |          3 |         11 |         65 |
| frontend\src\components\AddToCartButton                                                                                                                                           |          2 |         55 |          0 |         11 |         66 |
| frontend\src\components\BlogDetail                                                                                                                                                |          2 |         35 |          0 |          9 |         44 |
| frontend\src\components\BurgerMenu                                                                                                                                                |          2 |         40 |          1 |          8 |         49 |
| frontend\src\components\CommentSection                                                                                                                                            |          4 |        725 |          0 |         91 |        816 |
| frontend\src\components\CommentSection (Files)                                                                                                                                    |          2 |        426 |          0 |         61 |        487 |
| frontend\src\components\CommentSection\Comment                                                                                                                                    |          2 |        299 |          0 |         30 |        329 |
| frontend\src\components\DeleteConfirmationModal                                                                                                                                   |          2 |         69 |          0 |         11 |         80 |
| frontend\src\components\FavouriteButton                                                                                                                                           |          2 |         30 |          0 |          6 |         36 |
| frontend\src\components\Footer                                                                                                                                                    |          2 |        243 |          0 |         31 |        274 |
| frontend\src\components\Form                                                                                                                                                      |         12 |        322 |          0 |         60 |        382 |
| frontend\src\components\Form (Files)                                                                                                                                              |          6 |        133 |          0 |         26 |        159 |
| frontend\src\components\Form\styles                                                                                                                                               |          6 |        189 |          0 |         34 |        223 |
| frontend\src\components\LoadingOverlay                                                                                                                                            |          2 |         21 |          0 |          5 |         26 |
| frontend\src\components\LoadingSpinner                                                                                                                                            |          2 |         36 |          0 |          8 |         44 |
| frontend\src\components\MessageModalButton                                                                                                                                        |          2 |        136 |          7 |         22 |        165 |
| frontend\src\components\NavBar                                                                                                                                                    |         14 |      1,013 |          2 |        139 |      1,154 |
| frontend\src\components\NavBar (Files)                                                                                                                                            |          2 |        275 |          1 |         35 |        311 |
| frontend\src\components\NavBar\Dropdown                                                                                                                                           |          2 |         41 |          0 |          8 |         49 |
| frontend\src\components\NavBar\LoginButton                                                                                                                                        |          2 |         32 |          0 |          8 |         40 |
| frontend\src\components\NavBar\Notifications                                                                                                                                      |          4 |        313 |          1 |         41 |        355 |
| frontend\src\components\NavBar\Notifications (Files)                                                                                                                              |          2 |        164 |          1 |         20 |        185 |
| frontend\src\components\NavBar\Notifications\NotificationItem                                                                                                                     |          2 |        149 |          0 |         21 |        170 |
